ion,num,type,charge
A1,1,A,1
A10,10,A,1
A10^2,10,A,2
A10^3,10,A,3
A11,11,A,1
A11^2,11,A,2
A11^3,11,A,3
A12,12,A,1
A12^2,12,A,2
A12^3,12,A,3
A13,13,A,1
A13^2,13,A,2
A13^3,13,A,3
A14,14,A,1
A14^2,14,A,2
A14^3,14,A,3
A15,15,A,1
A15^2,15,A,2
A15^3,15,A,3
A16,16,A,1
A16^2,16,A,2
A16^3,16,A,3
A17,17,A,1
A17^2,17,A,2
A17^3,17,A,3
A18,18,A,1
A18^2,18,A,2
A18^3,18,A,3
A19,19,A,1
A19^2,19,A,2
A19^3,19,A,3
A2,2,A,1
A20,20,A,1
A20^2,20,A,2
A20^3,20,A,3
A21,21,A,1
A21^2,21,A,2
A21^3,21,A,3
A22,22,A,1
A22^2,22,A,2
A22^3,22,A,3
A23,23,A,1
A23^2,23,A,2
A23^3,23,A,3
A24,24,A,1
A24^2,24,A,2
A24^3,24,A,3
A25,25,A,1
A25^2,25,A,2
A25^3,25,A,3
A26,26,A,1
A26^2,26,A,2
A26^3,26,A,3
A27^2,27,A,2
A27^3,27,A,3
A28^2,28,A,2
A28^3,28,A,3
A29^2,29,A,2
A29^3,29,A,3
A2^2,2,A,2
A3,3,A,1
A3^2,3,A,2
A3^3,3,A,3
A4,4,A,1
A4^2,4,A,2
A4^3,4,A,3
A5,5,A,1
A5^2,5,A,2
A5^3,5,A,3
A6,6,A,1
A6^2,6,A,2
A6^3,6,A,3
A7,7,A,1
A7^2,7,A,2
A7^3,7,A,3
A8,8,A,1
A8^2,8,A,2
A8^3,8,A,3
A9,9,A,1
A9^2,9,A,2
A9^3,9,A,3
C1,1,C,1
C10,10,C,1
C10^2,10,C,2
C10^3,10,C,3
C11,11,C,1
C11^2,11,C,2
C11^3,11,C,3
C12,12,C,1
C12^2,12,C,2
C12^3,12,C,3
C13,13,C,1
C13^2,13,C,2
C13^3,13,C,3
C14,14,C,1
C14^2,14,C,2
C14^3,14,C,3
C15,15,C,1
C15^2,15,C,2
C15^3,15,C,3
C16,16,C,1
C16^2,16,C,2
C16^3,16,C,3
C17,17,C,1
C17^2,17,C,2
C17^3,17,C,3
C18,18,C,1
C18^2,18,C,2
C18^3,18,C,3
C19,19,C,1
C19^2,19,C,2
C19^3,19,C,3
C2,2,C,1
C20,20,C,1
C20^2,20,C,2
C20^3,20,C,3
C21,21,C,1
C21^2,21,C,2
C21^3,21,C,3
C22,22,C,1
C22^2,22,C,2
C22^3,22,C,3
C23,23,C,1
C23^2,23,C,2
C23^3,23,C,3
C24,24,C,1
C24^2,24,C,2
C24^3,24,C,3
C25,25,C,1
C25^2,25,C,2
C25^3,25,C,3
C26,26,C,1
C26^2,26,C,2
C26^3,26,C,3
C27,27,C,1
C27^2,27,C,2
C27^3,27,C,3
C28,28,C,1
C28^2,28,C,2
C28^3,28,C,3
C29,29,C,1
C29^2,29,C,2
C29^3,29,C,3
C2^2,2,C,2
C3,3,C,1
C3^2,3,C,2
C3^3,3,C,3
C4,4,C,1
C4^2,4,C,2
C4^3,4,C,3
C5,5,C,1
C5^2,5,C,2
C5^3,5,C,3
C6,6,C,1
C6^2,6,C,2
C6^3,6,C,3
C7,7,C,1
C7^2,7,C,2
C7^3,7,C,3
C8,8,C,1
C8^2,8,C,2
C8^3,8,C,3
C9,9,C,1
C9^2,9,C,2
C9^3,9,C,3
X1,1,X,1
X10,10,X,1
X10^2,10,X,2
X10^3,10,X,3
X11,11,X,1
X11^2,11,X,2
X11^3,11,X,3
X12,12,X,1
X12^2,12,X,2
X12^3,12,X,3
X13,13,X,1
X13^2,13,X,2
X13^3,13,X,3
X14,14,X,1
X14^2,14,X,2
X14^3,14,X,3
X15,15,X,1
X15^2,15,X,2
X15^3,15,X,3
X16,16,X,1
X16^2,16,X,2
X16^3,16,X,3
X17,17,X,1
X17^2,17,X,2
X17^3,17,X,3
X18,18,X,1
X18^2,18,X,2
X18^3,18,X,3
X19,19,X,1
X19^2,19,X,2
X19^3,19,X,3
X2,2,X,1
X20,20,X,1
X20^2,20,X,2
X20^3,20,X,3
X21,21,X,1
X21^2,21,X,2
X21^3,21,X,3
X22,22,X,1
X22^2,22,X,2
X22^3,22,X,3
X23,23,X,1
X23^2,23,X,2
X23^3,23,X,3
X24,24,X,1
X24^2,24,X,2
X24^3,24,X,3
X25,25,X,1
X25^2,25,X,2
X25^3,25,X,3
X26^2,26,X,2
X26^3,26,X,3
X27^2,27,X,2
X27^3,27,X,3
X28^2,28,X,2
X28^3,28,X,3
X29^2,29,X,2
X29^3,29,X,3
X2^2,2,X,2
X3,3,X,1
X3^2,3,X,2
X3^3,3,X,3
X4,4,X,1
X4^2,4,X,2
X4^3,4,X,3
X5,5,X,1
X5^2,5,X,2
X5^3,5,X,3
X6,6,X,1
X6^2,6,X,2
X6^3,6,X,3
X7,7,X,1
X7^2,7,X,2
X7^3,7,X,3
X8,8,X,1
X8^2,8,X,2
X8^3,8,X,3
X9,9,X,1
X9^2,9,X,2
X9^3,9,X,3
Z1,1,Z,1
Z10,10,Z,1
Z10^2,10,Z,2
Z10^3,10,Z,3
Z11,11,Z,1
Z11^2,11,Z,2
Z11^3,11,Z,3
Z12,12,Z,1
Z12^2,12,Z,2
Z12^3,12,Z,3
Z13,13,Z,1
Z13^2,13,Z,2
Z13^3,13,Z,3
Z14,14,Z,1
Z14^2,14,Z,2
Z14^3,14,Z,3
Z15,15,Z,1
Z15^2,15,Z,2
Z15^3,15,Z,3
Z16,16,Z,1
Z16^2,16,Z,2
Z16^3,16,Z,3
Z17,17,Z,1
Z17^2,17,Z,2
Z17^3,17,Z,3
Z18,18,Z,1
Z18^2,18,Z,2
Z18^3,18,Z,3
Z19,19,Z,1
Z19^2,19,Z,2
Z19^3,19,Z,3
Z2,2,Z,1
Z20,20,Z,1
Z20^2,20,Z,2
Z20^3,20,Z,3
Z21,21,Z,1
Z21^2,21,Z,2
Z21^3,21,Z,3
Z22,22,Z,1
Z22^2,22,Z,2
Z22^3,22,Z,3
Z23,23,Z,1
Z23^2,23,Z,2
Z23^3,23,Z,3
Z24,24,Z,1
Z24^2,24,Z,2
Z24^3,24,Z,3
Z25,25,Z,1
Z25^2,25,Z,2
Z25^3,25,Z,3
Z26,26,Z,1
Z26^2,26,Z,2
Z26^3,26,Z,3
Z27,27,Z,1
Z27^2,27,Z,2
Z27^3,27,Z,3
Z28,28,Z,1
Z28^2,28,Z,2
Z28^3,28,Z,3
Z29,29,Z,1
Z29^2,29,Z,2
Z29^3,29,Z,3
Z2^2,2,Z,2
Z3,3,Z,1
Z3^2,3,Z,2
Z3^3,3,Z,3
Z4,4,Z,1
Z4^2,4,Z,2
Z4^3,4,Z,3
Z5,5,Z,1
Z5^2,5,Z,2
Z5^3,5,Z,3
Z6,6,Z,1
Z6^2,6,Z,2
Z6^3,6,Z,3
Z7,7,Z,1
Z7^2,7,Z,2
Z7^3,7,Z,3
Z8,8,Z,1
Z8^2,8,Z,2
Z8^3,8,Z,3
Z9,9,Z,1
Z9^2,9,Z,2
Z9^3,9,Z,3
a1,1,a,1
a10,10,a,1
a10^2,10,a,2
a10^3,10,a,3
a11,11,a,1
a11^2,11,a,2
a11^3,11,a,3
a12,12,a,1
a12^2,12,a,2
a12^3,12,a,3
a13,13,a,1
a13^2,13,a,2
a13^3,13,a,3
a14,14,a,1
a14^2,14,a,2
a14^3,14,a,3
a15,15,a,1
a15^2,15,a,2
a15^3,15,a,3
a16,16,a,1
a16^2,16,a,2
a16^3,16,a,3
a17,17,a,1
a17^2,17,a,2
a17^3,17,a,3
a18,18,a,1
a18^2,18,a,2
a18^3,18,a,3
a19,19,a,1
a19^2,19,a,2
a19^3,19,a,3
a2,2,a,1
a20,20,a,1
a20^2,20,a,2
a20^3,20,a,3
a21,21,a,1
a21^2,21,a,2
a21^3,21,a,3
a22,22,a,1
a22^2,22,a,2
a22^3,22,a,3
a23,23,a,1
a23^2,23,a,2
a23^3,23,a,3
a24^2,24,a,2
